NID_Number,Date_of_Birth,Age,Gender,Blood_Group,Marital_Status,Occupation,Division,District
1000000000,2008-01-01,18,Male,A+,Single,Student,Dhaka,Dhaka
1000012389,2003-02-02,23,Female,O-,Single,Student,Dhaka,Gazipur
1000024734,2002-03-03,24,Male,AB+,Divorced,Unemployed,Dhaka,Narayanganj
1000037035,2005-04-04,21,Female,B-,Single,Student,Rajshahi,Rajshahi
1000049347,2007-05-05,19,Female,AB-,Single,Student,Rajshahi,Bogura
1000061681,2007-06-06,19,Female,A-,Single,Student,Rangpur,Rangpur
1000074059,2003-07-07,23,Female,AB-,Divorced,Student,Rangpur,Dinajpur
1000086448,1998-08-08,28,Male,B+,Divorced,Unemployed,Chattogram,Chattogram
1000098804,1996-09-09,30,Male,O+,Divorced,Teacher,Chattogram,Cumilla
1000111127,1997-10-10,29,Female,B-,Divorced,Teacher,Dhaka,Dhaka
1000123428,2000-11-11,26,Male,O+,Single,Unemployed,Dhaka,Gazipur
1000135751,2001-12-12,25,Female,AB-,Single,Unemployed,Dhaka,Narayanganj
1000148118,1998-01-13,28,Male,AB+,Married,Doctor,Rajshahi,Rajshahi
1000160507,1993-02-14,33,Female,AB-,Married,Farmer,Rajshahi,Bogura
1000172874,1990-03-15,36,Male,B+,Divorced,Business,Rangpur,Rangpur
1000185208,1990-04-16,36,Male,B+,Single,Govt Employee,Rangpur,Dinajpur
1000197509,1993-05-17,33,Female,A-,Married,Doctor,Chattogram,Chattogram
1000209821,1995-06-18,31,Female,O-,Single,Engineer,Chattogram,Cumilla
1000222177,1993-07-19,33,Female,O-,Single,Govt Employee,Dhaka,Dhaka
1000234555,1989-08-20,37,Female,B-,Divorced,Teacher,Dhaka,Gazipur
1000246944,1984-09-21,42,Male,A+,Divorced,Unemployed,Dhaka,Narayanganj
1000259289,1983-10-22,43,Female,A-,Married,Farmer,Rajshahi,Rajshahi
1000271590,1986-11-23,40,Male,AB+,Divorced,Unemployed,Rajshahi,Bogura
1000283891,1989-12-24,37,Female,B-,Single,Govt Employee,Rangpur,Rangpur
1000296236,1988-01-25,38,Male,O+,Divorced,Unemployed,Rangpur,Dinajpur
1000308625,1983-02-26,43,Female,A-,Divorced,Business,Chattogram,Chattogram
1000321003,1979-03-27,47,Female,O-,Married,Farmer,Chattogram,Cumilla
1000333359,1977-04-28,49,Female,AB-,Married,Doctor,Dhaka,Dhaka
1000345671,1979-05-01,47,Female,O-,Single,Engineer,Dhaka,Gazipur
1000357972,1982-06-02,44,Male,A+,Married,Farmer,Dhaka,Narayanganj
1000370306,1982-07-03,44,Male,B+,Divorced,Teacher,Rajshahi,Rajshahi
1000382673,1979-08-04,47,Female,A-,Single,Govt Employee,Rajshahi,Bogura
1000395062,1974-09-05,52,Male,B+,Single,Engineer,Rangpur,Rangpur
1000407429,1971-10-06,55,Female,O-,Married,Private Service,Rangpur,Dinajpur
1000419752,1972-11-07,54,Male,O+,Married,Private Service,Chattogram,Chattogram
1000432053,1975-12-08,51,Female,O-,Divorced,Business,Chattogram,Cumilla
1000444376,1976-01-09,50,Male,A+,Divorced,Business,Dhaka,Dhaka
1000456732,1974-02-10,52,Male,A+,Divorced,Unemployed,Dhaka,Gazipur
1000469121,1969-03-11,57,Female,AB-,Divorced,Business,Dhaka,Narayanganj
1000481499,1965-04-12,61,Female,B-,Married,Retired,Rajshahi,Rajshahi
1000493833,1965-05-13,61,Female,B-,Divorced,Business,Rajshahi,Bogura
1000506145,1967-06-14,59,Female,A-,Married,Farmer,Rangpur,Rangpur
1000518446,1970-07-15,56,Male,AB+,Divorced,Unemployed,Rangpur,Dinajpur
1000530791,1969-08-16,57,Female,AB-,Married,Farmer,Chattogram,Chattogram
1000543180,1964-09-17,62,Male,O+,Married,Farmer,Chattogram,Cumilla
1000555569,1959-10-18,67,Female,A-,Widowed,Retired,Dhaka,Dhaka
